Player,MP,Dunks
Troy Hudson,1854,2
Troy Murphy,1448,18
Tyrone Hill,810,4
Tyrone Nesby,1498,21
Tyronn Lue,1458,0
Tyson Chandler,1389,70
Victor Alexander,97,0
Vin Baker,1710,34
Vince Carter,2385,59
Vinny Del Negro,6,0
Vitaly Potapenko,1343,4
Vlade Divac*,2420,40
Vladimir Radmanović,1230,16
Vladimir Stepania,884,13
Vonteego Cummings,501,2
Voshon Lenard,1665,0
Wally Szczerbiak,3117,25
Walt Williams,1117,12
Walter McCarty,718,9
Wang Zhizhi,600,2
Wesley Person,2793,13
Will Solomon,872,0
William Avery,258,0
Zach Randolph,238,4
Zendon Hamilton,848,25
Zydrunas Ilgauskas,1329,30
Óscar Torres,1075,10
Željko Rebrača,1179,23
